city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality,food_cost_index,transportation_cost_index,bills_cost_index,hobby_cost_index,education_cost_index,dressing_cost_index,realestate_cost_index
Taunton,United Kingdom,14.61,55.35,6.15,5.23,4.0,3.08,1.52,1.23,1.23,0.89,1.11,2.34,5.74,6.97,6.15,1.54,1.33,1.43,2.46,0.62,0.8,0.82,1.09,7.38,1.85,1.74,12.3,3.08,76.88,3.44,1.69,14.76,1.9,20295.0,22140.0,100.45,0.12,31.0,29.83,11.07,11.69,461.25,9430.0,61.5,32.29,62.73,59.96,1045.5,656.0,1230.0,974.08,3830.94,2553.96,3936.0,2.24,0,98.29217291717931,111.82034202392938,98.69710046412116,101.95896982144875,104.94159648093718,99.12043168702526,105.86048825780536
Alba Iulia,Romania,3.96,21.41,3.85,1.41,1.5,1.37,1.09,0.96,1.15,0.88,0.64,2.25,5.89,3.64,9.63,0.92,1.06,1.09,3.21,0.5,0.48,0.52,0.57,4.82,0.88,0.94,4.28,0.59,16.06,0.47,0.53,4.5,1.72,16848.33,19103.33,82.41,0.04,7.06,25.69,15.78,4.28,321.12,3610.5,70.97,18.73,78.1,58.16,225.61,190.03,469.41,373.17,1065.49,850.43,659.72,6.04,0,51.0965728926396,82.51358842908384,52.44080574399069,92.08603984587366,95.86434426081911,97.78803425901015,88.65638450772695
Brentwood,United States,10.35,55.0,9.0,5.5,9.5,5.0,1.52,1.0,1.15,1.61,4.41,2.35,13.23,7.17,11.72,4.41,1.52,1.96,6.61,4.41,1.96,1.0,2.5,12.0,1.66,2.31,5.0,1.52,43.98,2.77,1.23,17.18,1.36,23781.48,19000.0,138.62,0.14,74.75,36.85,15.78,14.0,489.58,20000.0,47.67,58.75,111.25,127.5,711.57,560.16,1253.98,974.08,2637.16,2421.88,1821.19,6.52,0,145.7537165646501,104.57204901107276,121.29763829104294,111.17114585493147,110.51247765770776,109.58704134861694,103.55044159207876
Kahramanmaras,Turkey,2.68,8.05,3.22,1.34,1.61,1.01,0.34,0.11,0.53,0.35,1.14,1.12,4.9,3.49,7.6,0.47,0.88,0.3,0.82,0.3,0.24,0.35,0.19,5.37,1.25,1.45,1.8,0.24,8.05,0.32,0.32,5.37,1.1,30857.74,28085.01,56.27,0.08,8.26,23.7,3.22,2.15,161.0,3380.93,26.83,11.51,63.72,48.97,97.49,82.29,152.95,140.6,380.11,286.2,305.0,17.5,0,-0.7755355970386972,76.06186994264478,60.24844297209228,62.96841039605449,90.67337949123674,86.29459734180134,74.3249114329803
Sopron,Hungary,6.43,30.85,5.53,1.76,1.93,1.63,1.15,1.14,0.81,1.37,1.63,1.9,9.17,4.4,10.28,1.54,1.25,1.88,2.41,0.82,1.07,0.96,0.28,2.57,0.69,0.86,4.11,1.0,17.87,4.11,1.03,12.34,1.2,17354.86,16069.32,123.36,0.12,10.28,23.78,9.0,5.08,489.58,8770.87,61.71,12.86,51.42,70.7,335.53,282.82,489.36,444.8,2442.54,1934.75,742.19,7.9,1,70.67421244203611,97.0860646228517,83.72870245775948,86.31532222048337,104.85335964626117,93.16260240771084,95.13321319926631
Cherbourg,France,6.59,55.32,5.27,3.38,3.94,2.11,1.58,1.05,1.15,1.61,2.19,2.35,9.5,7.17,11.72,2.75,1.55,2.36,2.56,1.57,1.52,1.23,0.99,8.64,1.66,2.31,6.29,1.37,31.61,2.77,1.23,21.07,2.09,23781.48,23878.49,152.79,0.47,31.61,31.61,15.78,8.43,489.58,8770.87,62.65,26.29,83.77,73.76,519.85,347.74,816.65,597.12,2743.95,1371.98,1857.4,1.7,0,114.43781672763834,106.14259507332174,128.75805315352818,103.01487667023147,104.85335964626117,101.05778023149152,98.1090999151991
Ban Rangsit,Thailand,1.58,43.36,4.9,1.58,3.94,2.75,0.55,1.12,1.25,1.15,1.51,2.35,14.4,1.44,5.76,3.46,1.3,1.87,0.94,1.08,1.58,0.94,0.44,11.52,1.63,1.73,3.46,0.78,43.98,1.01,0.43,1.44,1.36,14400.21,23040.34,42.1,0.05,23.9,43.2,4.32,6.34,489.58,8770.87,79.68,33.5,89.28,82.56,711.57,118.08,576.01,432.01,1641.62,2341.93,561.61,6.52,0,80.41329425413188,84.34235279111496,65.28605865459892,87.35971575379637,104.85335964626117,105.18650383186447,94.66096613445362
Napier,New Zealand,14.07,76.97,7.7,5.77,5.13,3.03,1.79,1.82,1.87,2.0,2.08,2.69,7.16,6.25,9.94,1.92,1.62,1.6,2.21,1.28,0.83,2.28,1.39,7.7,2.66,2.27,20.2,2.24,43.98,1.92,1.4,32.07,1.81,28862.99,25655.99,127.86,0.28,57.73,43.83,15.78,9.62,520.82,7696.8,67.81,40.89,96.21,66.71,569.24,449.78,967.71,700.41,2854.23,2244.9,3232.79,3.56,0,127.20281621414676,110.27490240712157,127.19566142418925,108.68034589286435,104.38119405970527,104.55780063420313,101.0495518681507
Saraburi,Thailand,1.01,15.84,5.47,1.5,2.0,1.01,0.29,0.29,1.92,1.09,0.58,1.04,9.5,1.73,6.34,2.88,0.58,1.15,0.4,0.86,0.81,0.58,0.55,8.64,1.73,2.02,3.17,0.58,29.26,0.75,0.39,3.23,0.92,26352.39,20160.3,45.15,0.01,10.08,51.84,11.52,3.74,200.31,8640.13,46.5,15.02,81.39,56.06,100.8,72.0,201.6,144.0,3235.27,2341.93,345.61,4.0,0,39.116718543907844,83.56730719636579,25.249580726200534,95.20381731851391,98.61477623516883,93.7855809704676,85.13037739604746
Leskovac,Serbia,4.49,21.99,2.69,1.62,1.17,1.28,1.12,0.77,0.88,0.46,1.59,1.58,4.04,5.0,7.05,0.63,1.28,1.11,0.79,0.55,0.46,0.39,0.4,3.14,0.53,0.91,3.41,0.54,28.73,0.85,0.63,4.04,1.51,18851.45,20885.56,115.49,0.1,16.57,16.61,5.98,3.32,148.12,10772.26,42.26,26.6,71.82,69.38,106.82,68.19,210.52,132.72,875.21,670.36,511.68,3.38,0,33.05266561467623,86.99561892018346,87.54684894614061,71.58670714982364,98.05671088397764,97.31794612342601,78.82470733794428
Bobigny,France,12.64,50.58,8.43,6.32,5.27,2.11,2.11,1.69,1.05,1.69,1.82,2.74,9.88,10.96,13.7,2.21,1.87,2.5,2.57,1.61,1.62,1.29,0.36,6.84,1.6,2.48,10.01,1.95,43.98,2.74,2.0,36.67,2.09,22128.65,26343.63,143.28,0.11,26.34,31.61,15.78,11.06,538.58,6972.28,63.22,42.15,71.13,63.22,711.57,560.16,1253.98,974.08,3235.27,2341.93,1844.05,1.4,0,123.44135985953072,112.52088440851554,100.45048559306743,106.36727732057415,103.93267231403266,102.08079012365853,103.96590058556754
Giurgiu,Romania,5.35,25.69,5.35,1.5,1.61,1.5,1.25,0.9,1.07,0.59,1.16,2.36,5.7,5.11,9.38,0.85,1.17,0.98,1.11,0.59,0.69,0.53,0.57,4.28,0.84,1.47,4.66,0.64,43.98,0.54,0.64,5.14,1.71,16848.33,22906.81,194.9,0.05,8.86,32.11,15.78,6.42,331.83,6422.47,39.07,22.26,85.28,77.78,711.57,560.16,1253.98,974.08,3235.27,2341.93,1821.19,6.54,0,56.13283393302493,88.84069270540722,74.28547755625013,99.84585740700143,100.0437513485729,97.50243378951738,103.96590058556754
