"country","productcategory","average_cost"
"Guyana","realestate","517.57"
"China","realestate","517.03"
"Ethiopia","realestate","515.84"
"Guatemala","realestate","513.69"
"Curacao","realestate","512.92"
"Poland","realestate","512.91"
"Greece","realestate","507.86"
"Slovakia","realestate","507.66"
"Georgia","realestate","499.72"
"Chile","realestate","498.73"
"Moldova","realestate","496.36"
"Cambodia","realestate","492.73"
"South Korea","realestate","491.50"
"Syria","realestate","490.91"
"Kosovo (Disputed Territory)","realestate","489.28"
"Barbados","realestate","487.50"
"Bolivia","realestate","484.81"
"Myanmar","realestate","481.54"
"Russia","realestate","479.53"
"Lithuania","realestate","476.43"
"Libya","realestate","475.94"
"Trinidad And Tobago","realestate","474.00"
"Vietnam","realestate","472.16"
"Mauritius","realestate","470.34"
"Belarus","realestate","468.93"
"Nicaragua","realestate","457.56"
"Cape Verde","realestate","450.89"
"Hungary","realestate","449.04"
"Oman","realestate","439.65"
"Kyrgyzstan","realestate","439.56"
"Tanzania","realestate","438.89"
"Malaysia","realestate","437.85"
"Dominican Republic","realestate","436.36"
"Taiwan","realestate","435.07"
"South Africa","realestate","431.75"
"Montenegro","realestate","431.21"
"Iraq","realestate","419.86"
"Belize","realestate","418.13"
"Jamaica","realestate","418.03"
"Saint Lucia","realestate","417.20"
"Gambia","realestate","416.27"
"Malawi","realestate","408.13"
"Croatia","realestate","406.46"
"Mexico","realestate","404.53"
"Burkina Faso","realestate","401.61"
"Peru","realestate","400.35"
"Namibia","realestate","398.44"
"Thailand","realestate","396.73"
"Tajikistan","realestate","386.48"
"Jordan","realestate","381.26"
"Philippines","realestate","380.13"
"Costa Rica","realestate","379.58"
"Montserrat","realestate","379.27"
"Argentina","realestate","378.59"
"Botswana","realestate","374.27"
"Somalia","realestate","372.75"
"Uzbekistan","realestate","369.51"
"Venezuela","realestate","366.48"
"Fiji","realestate","366.29"
"Sri Lanka","realestate","362.78"
"Bulgaria","realestate","361.79"
"Saudi Arabia","realestate","360.55"
"Brazil","realestate","359.14"
"Latvia","realestate","358.60"
"Romania","realestate","357.92"
"Indonesia","realestate","355.83"
"Guinea-Bissau","realestate","346.16"
"Dominica","realestate","345.88"
"Saint Vincent And The Grenadines","realestate","342.27"
"Albania","realestate","339.51"
"Estonia","realestate","338.73"
"Bhutan","realestate","331.35"
"Ukraine","realestate","329.98"
"Pakistan","realestate","319.07"
"Kazakhstan","realestate","309.89"
"Azerbaijan","realestate","302.74"
"Sudan","realestate","293.96"
"Afghanistan","realestate","292.07"
"North Macedonia","realestate","289.92"
"Lesotho","realestate","285.13"
"Morocco","realestate","284.73"
"Burundi","realestate","282.62"
"Equatorial Guinea","realestate","281.13"
"Mauritania","realestate","280.67"
"Swaziland","realestate","278.48"
"Kenya","realestate","264.91"
"Togo","realestate","259.04"
"Egypt","realestate","253.05"
"Nepal","realestate","250.85"
"Colombia","realestate","237.50"
"Algeria","realestate","228.56"
"Serbia","realestate","226.96"
"India","realestate","212.53"
"Sao Tome And Principe","realestate","210.75"
"Tunisia","realestate","206.62"
"Bosnia And Herzegovina","realestate","205.20"
"Turkey","realestate","195.51"
"Benin","realestate","194.78"
"Cameroon","realestate","191.24"
"Mongolia","realestate","183.60"
"Cook Islands","realestate","166.76"
"Bangladesh","realestate","132.07"
"Tuvalu","realestate","115.07"
"American Samoa","realestate","89.46"
